pl_name,hostname,disc_year,discoverymethod,disc_facility
"""HD 128311 c""","""HD 128311""",2005,"""Radial Velocity""","""W. M. Keck Observatory"""
"""Kepler-33 b""","""Kepler-33""",2011,"""Transit""","""Kepler"""
"""Kepler-33 e""","""Kepler-33""",2011,"""Transit""","""Kepler"""
"""Kepler-33 b""","""Kepler-33""",2011,"""Transit""","""Kepler"""
"""HD 169830 c""","""HD 169830""",2003,"""Radial Velocity""","""La Silla Observatory"""
"""HD 177830 b""","""HD 177830""",1999,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 7924 b""","""HD 7924""",2008,"""Radial Velocity""","""W. M. Keck Observatory"""
"""GJ 414 A c""","""GJ 414 A""",2021,"""Radial Velocity""","""W. M. Keck Observatory"""
"""16 Cyg B b""","""16 Cyg B""",1996,"""Radial Velocity""","""Multiple Observatories"""
"""HD 72659 b""","""HD 72659""",2002,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 38529 c""","""HD 38529""",2000,"""Radial Velocity""","""Multiple Observatories"""
"""Kepler-33 e""","""Kepler-33""",2011,"""Transit""","""Kepler"""
"""Kepler-33 f""","""Kepler-33""",2011,"""Transit""","""Kepler"""
"""WASP-1 b""","""WASP-1""",2007,"""Transit""","""SuperWASP"""
"""GJ 1214 b""","""GJ 1214""",2009,"""Transit""","""MEarth Project"""
"""HAT-P-57 b""","""HAT-P-57""",2015,"""Transit""","""HATNet"""
"""WASP-10 b""","""WASP-10""",2008,"""Transit""","""SuperWASP"""
"""Kepler-854 b""","""Kepler-854""",2016,"""Transit""","""Kepler"""
"""CoRoT-2 b""","""CoRoT-2""",2008,"""Transit""","""CoRoT"""
"""WASP-2 b""","""WASP-2""",2007,"""Transit""","""SuperWASP"""
"""WASP-69 b""","""WASP-69""",2014,"""Transit""","""SuperWASP"""
"""WASP-90 b""","""WASP-90""",2016,"""Transit""","""SuperWASP"""
"""HD 216770 b""","""HD 216770""",2003,"""Radial Velocity""","""La Silla Observatory"""
"""HD 6434 b""","""HD 6434""",2003,"""Radial Velocity""","""La Silla Observatory"""
"""HD 111232 b""","""HD 111232""",2003,"""Radial Velocity""","""La Silla Observatory"""
"""HD 114386 b""","""HD 114386""",2003,"""Radial Velocity""","""La Silla Observatory"""
"""Kepler-1874 b""","""Kepler-1874""",2021,"""Transit""","""Kepler"""
"""WASP-157 b""","""WASP-157""",2016,"""Transit""","""SuperWASP"""
"""Kepler-1919 b""","""Kepler-1919""",2021,"""Transit""","""Kepler"""
"""Kepler-1937 b""","""Kepler-1937""",2021,"""Transit""","""Kepler"""
"""K2-358 b""","""K2-358""",2021,"""Transit""","""K2"""
"""Kepler-394 c""","""Kepler-394""",2014,"""Transit""","""Kepler"""
"""Kepler-1760 b""","""Kepler-1760""",2021,"""Transit""","""Kepler"""
"""14 Her b""","""14 Her""",2002,"""Radial Velocity""","""W. M. Keck Observatory"""
"""Kepler-1767 b""","""Kepler-1767""",2021,"""Transit""","""Kepler"""
"""Kepler-1796 b""","""Kepler-1796""",2021,"""Transit""","""Kepler"""
"""Kepler-1952 b""","""Kepler-1952""",2021,"""Transit""","""Kepler"""
"""Kepler-1876 b""","""Kepler-1876""",2021,"""Transit""","""Kepler"""
"""HD 24040 b""","""HD 24040""",2006,"""Radial Velocity""","""W. M. Keck Observatory"""
"""Kepler-1773 b""","""Kepler-1773""",2021,"""Transit""","""Kepler"""
"""K2-402 b""","""K2-402""",2022,"""Transit""","""K2"""
"""Kepler-1749 b""","""Kepler-1749""",2021,"""Transit""","""Kepler"""
"""Kepler-1918 b""","""Kepler-1918""",2021,"""Transit""","""Kepler"""
"""Kepler-281 c""","""Kepler-281""",2014,"""Transit""","""Kepler"""
"""Kepler-1883 b""","""Kepler-1883""",2021,"""Transit""","""Kepler"""
"""Kepler-1916 b""","""Kepler-1916""",2021,"""Transit""","""Kepler"""
"""Kepler-589 c""","""Kepler-589""",2021,"""Transit""","""Kepler"""
"""Kepler-1468 d""","""Kepler-1468""",2021,"""Transit""","""Kepler"""
"""Kepler-1770 b""","""Kepler-1770""",2021,"""Transit""","""Kepler"""
"""Kepler-1799 b""","""Kepler-1799""",2021,"""Transit""","""Kepler"""
